WEIGHT: 3.38244155602, -3.38263336983 
THETA: 0

Ground Function:
TF
+0
+1 -1

Arguments: threshold perceptron ground_file.txt sphere 5000 2500 0.2

Training Updates: 22
([-0.662223596516701, -0.7493062846503327, 1], [0.662223596516701, 0.7493062846503327, 0])
([-0.15093178761663528, -1.6087134559909602, 0], [0.5112918089000658, -0.8594071713406275, 1])
([0.8109761837599435, -1.3353399850721555, 1], [-0.9619079713765788, -0.2733734709188047, 0])
([0.13862775784660142, -2.0755748087408685, 0], [-0.6723484259133421, -0.7402348236687133, 1])
([0.847835585488724, -1.370575335541674, 1], [-0.7092078276421225, -0.7049994731991944, 0])
([1.846262630070937, -1.3145089762267756, 0], [0.9984270445822132, 0.05606635931489853, 1])
([1.1854137521880919, -2.065027970390804, -1], [-0.6608488778828453, -0.750518994164028, 1])
([2.1527050090391975, -1.811359634922207, 0], [-0.9672912568511055, -0.2536683354685969, 0])
([1.4522101483723628, -2.5250170808858514, 1], [0.7004948606668346, 0.7136574459636443, 0])
([0.7678155825076307, -3.2541289229339867, 0], [-0.6843945658647321, -0.7291118420481353, 1])
([1.7041259036298728, -2.9029552015937305, -1], [0.9363103211222421, 0.35117372134025615, 1])
([2.6045811050260235, -2.4680064341755235, 0], [-0.9004552013961508, -0.434948767418207, 0])
([1.9021104123175667, -3.1797191050517, -1], [-0.7024706927084569, -0.7117126708761765, 1])
([2.6128683521011693, -2.4762824333927878, 0], [-0.7107579397836028, -0.7034366716589124, 0])
([1.9248405186511661, -3.2019667314164493, 1], [0.6880278334500033, 0.7256842980236616, 0])
([2.8862792350551434, -2.9269474691829247, 0], [0.9614387164039774, 0.27501926223352474, 1])
([3.595637862222051, -2.2220997281325046, 1], [-0.7093586271669079, -0.7048477410504199, 0])
([3.026723126751798, -3.0444962406280354, 0], [-0.568914735470253, -0.8223965124955308, 1])
([3.734792023995684, -2.33835288637493, 1], [-0.7080688972438863, -0.7061433542531055, 0])
([3.243229803965444, -3.2091953427577944, 0], [-0.49156222003024047, -0.8708424563828646, 1])
([2.5378162943687883, -3.917991350420457, 1], [0.7054135095966554, 0.7087960076626626, 0])
([3.3824415560180743, -3.3826333698281474, 0], [0.8446252616492858, 0.5353579805923094, 1])
